tag,x,y,direction,x_variance,y_variance,xy_covariance
orange,-1.637,-11.0,0,0.01,0.01,0.0
orange,1.6375,-11.0,0,0.01,0.01,0.0
orange,-1.637,-9.0,0,0.01,0.01,0.0
orange,1.6375,-9.0,0,0.01,0.01,0.0
yellow,-1.745,-7.504,0,0.01,0.01,0.0
blue,1.7458,-7.504,0,0.01,0.01,0.0
blue,-2.216,-2.913,0,0.01,0.01,0.0
yellow,2.2169,-2.913,0,0.01,0.01,0.0
big_orange,-1.783,-1.485,0,0.01,0.01,0.0
big_orange,1.7837,-1.485,0,0.01,0.01,0.0
blue,-1.637,0.0,0,0.01,0.01,0.0
yellow,1.6375,0.0,0,0.01,0.01,0.0
big_orange,-1.783,1.4851,0,0.01,0.01,0.0
big_orange,1.7837,1.4851,0,0.01,0.01,0.0
