tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-2.216,2.9131,0,0.01,0.01,0.0
yellow,2.2169,2.9131,0,0.01,0.01,0.0
blue,1.7458,7.5041,0,0.01,0.01,0.0
yellow,3.8671,5.3828,0,0.01,0.01,0.0
blue,5.1887,9.8046,0,0.01,0.01,0.0
yellow,6.3368,7.033,0,0.01,0.01,0.0
blue,9.25,10.612,0,0.01,0.01,0.0
yellow,9.25,7.6125,0,0.01,0.01,0.0
blue,13.311,9.8046,0,0.01,0.01,0.0
yellow,12.163,7.033,0,0.01,0.01,0.0
blue,16.754,7.5041,0,0.01,0.01,0.0
yellow,14.632,5.3828,0,0.01,0.01,0.0
blue,19.054,4.0612,0,0.01,0.01,0.0
yellow,16.283,2.9131,0,0.01,0.01,0.0
blue,19.862,0.0,0,0.01,0.01,0.0
yellow,16.862,0.0,0,0.01,0.01,0.0
blue,19.054,-4.061,0,0.01,0.01,0.0
yellow,16.283,-2.913,0,0.01,0.01,0.0
blue,16.754,-7.504,0,0.01,0.01,0.0
yellow,14.632,-5.382,0,0.01,0.01,0.0
blue,13.311,-9.804,0,0.01,0.01,0.0
yellow,12.163,-7.033,0,0.01,0.01,0.0
blue,9.25,-10.61,0,0.01,0.01,0.0
yellow,9.25,-7.612,0,0.01,0.01,0.0
blue,5.1887,-9.804,0,0.01,0.01,0.0
yellow,6.3368,-7.033,0,0.01,0.01,0.0
blue,1.7458,-7.504,0,0.01,0.01,0.0
yellow,3.8671,-5.382,0,0.01,0.01,0.0
blue,-2.216,-2.913,0,0.01,0.01,0.0
yellow,2.2169,-2.913,0,0.01,0.01,0.0
big_orange,-1.783,-1.485,0,0.01,0.01,0.0
big_orange,1.7837,-1.485,0,0.01,0.01,0.0
blue,-1.637,0.0,0,0.01,0.01,0.0
yellow,1.6375,0.0,0,0.01,0.01,0.0
big_orange,-1.783,1.4851,0,0.01,0.01,0.0
big_orange,1.7837,1.4851,0,0.01,0.01,0.0
