tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-2.216,2.9131,0,0.01,0.01,0.0
yellow,2.2169,2.9131,0,0.01,0.01,0.0
yellow,-1.745,7.5041,0,0.01,0.01,0.0
blue,1.7458,7.5041,0,0.01,0.01,0.0
orange,-1.637,9.0,0,0.01,0.01,0.0
orange,1.6375,9.0,0,0.01,0.01,0.0
orange,-1.637,11.0,0,0.01,0.01,0.0
orange,1.6375,11.0,0,0.01,0.01,0.0
orange,-1.637,13.0,0,0.01,0.01,0.0
orange,1.6375,13.0,0,0.01,0.01,0.0
orange,-1.637,15.0,0,0.01,0.01,0.0
orange,1.6375,15.0,0,0.01,0.01,0.0
orange,-1.637,17.0,0,0.01,0.01,0.0
orange,1.6375,17.0,0,0.01,0.01,0.0
orange,-1.637,19.0,0,0.01,0.01,0.0
orange,1.6375,19.0,0,0.01,0.01,0.0
orange,-1.637,21.0,0,0.01,0.01,0.0
orange,1.6375,21.0,0,0.01,0.01,0.0
orange,-0.55,21.0,0,0.01,0.01,0.0
orange,0.55,21.0,0,0.01,0.01,0.0
